Rank,Player,,,,
1,,37.61,529,250,66726.57
,Kylian Mbappe,,,,
,,,,,
,FRA,,,,
,FW,,,,
2,,37.16,211,118,24265.7
,Anthony Elanga,,,,
,,,,,
,SWE,,,,
,FW,,,,
3,,36.77,245,92,27342.03
,Micky Van De Ven,,,,
,,,,,
,NED,,,,
,DF,,,,
4,,36.67,396,223,36920.34
,Jordan Bos,,,,
,,,,,
,AUS,,,,
,DF,,,,
5,,36.52,375,172,49468.92
,Erling Haaland,,,,
,,,,,
,NOR,,,,
,FW,,,,
6,,36.46,218,93,27912.88
,Abdukodir Khusanov,,,,
,,,,,
,UZB,,,,
,DF,,,,
7,,36.32,340,165,42770.58
,Bradley Barcola,,,,
,,,,,
,FRA,,,,
,FW,,,,
8,,36.22,417,214,45630.64
,Djed Spence,,,,
,,,,,
,ENG,,,,
,DF,,,,
9,,36.17,288,134,29720.25
,Theo Hernandez,,,,
,,,,,
,FRA,,,,
,DF,,,,
10,,35.9,196,79,16630.4
,Nelson Semedo,,,,
,,,,,
,POR,,,,
,DF,,,,
11,,35.79,474,232,43686.72
,Anthony Gordon,,,,
,,,,,
,ENG,,,,
,FW,,,,
12,,35.77,217,79,19508.03
,Mohamed Toure,,,,
,,,,,
,AUS,,,,
,FW,,,,
13,,35.61,443,129,37432.87
,Ryan Gravenberch,,,,
,,,,,
,NED,,,,
,MF,,,,
14,,35.6,329,183,34951.64
,Folarin Balogun,,,,
,,,,,
,USA,,,,
,FW,,,,
15,,35.59,322,137,29767.17
,Marcus Holmgren Pedersen,,,,
,,,,,
,NOR,,,,
,DF,,,,
16,,35.52,80,31,6170.77
,Alan Minda,,,,
,,,,,
,ECU,,,,
,MF,,,,
17,,35.51,26,11,2880.7
,Sondre Langas,,,,
,,,,,
,NOR,,,,
,DF,,,,
18,,35.48,624,296,63750.68
,Achraf Hakimi,,,,
,,,,,
,MAR,,,,
,DF,,,,
19,,35.39,598,228,73611.38
,Dayot Upamecano,,,,
,,,,,
,FRA,,,,
,DF,,,,
20,,35.33,368,208,37581.23
,Pedro Neto,,,,
,,,,,
,POR,,,,
,FW,,,,
21,,35.33,280,128,23817.14
,Chemsdine Talbi,,,,
,,,,,
,MAR,,,,
,MF,,,,
22,,35.23,464,231,46053.79
,Richie Laryea,,,,
,,,,,
,CAN,,,,
,DF,,,,
23,,35.2,296,114,23625.58
,Giuliano Simeone,,,,
,,,,,
,ARG,,,,
,FW,,,,
24,,35.17,321,165,35476.36
,Omar Marmoush,,,,
,,,,,
,EGY,,,,
,FW,,,,
25,,35.17,285,147,28790.24
,Marcus Rashford,,,,
,,,,,
,ENG,,,,
,FW,,,,
26,,35.17,169,96,18757.38
,Son Heungmin,,,,
,,,,,
,KOR,,,,
,FW,,,,
27,,35.17,299,159,27093.85
,Thapelo Maseko,,,,
,,,,,
,RSA,,,,
,FW,,,,
28,,35.16,382,160,39049.58
,Nuno Mendes,,,,
,,,,,
,POR,,,,
,DF,,,,
29,,35.14,292,100,38197.13
,Virgil Van Dijk,,,,
,,,,,
,NED,,,,
,DF,,,,
30,,35.13,263,129,27279
,Nestory Irankunda,,,,
,,,,,
,AUS,,,,
,FW,,,,
31,,35.13,510,248,52994.8
,Luis Diaz,,,,
,,,,,
,COL,,,,
,FW,,,,
32,,35.12,285,167,39933.84
,Antoine Semenyo,,,,
,,,,,
,GHA,,,,
,MF,,,,
33,,35.09,480,150,54843.56
,Kristoffer Ajer,,,,
,,,,,
,NOR,,,,
,DF,,,,
34,,35.08,683,264,53458.13
,Alistair Johnston,,,,
,,,,,
,CAN,,,,
,DF,,,,
35,,35.05,267,155,32718.6
,Luis Suarez,,,,
,,,,,
,COL,,,,
,FW,,,,
36,,35,432,239,32326.01
,Daizen Maeda,,,,
,,,,,
,JPN,,,,
,MF,,,,
37,,34.98,787,340,71340.54
,Julian Alvarez,,,,
,,,,,
,ARG,,,,
,FW,,,,
38,,34.97,442,141,33325.14
,Felix Nmecha,,,,
,,,,,
,GER,,,,
,MF,,,,
39,,34.95,366,99,41751.06
,Pico Lopes,,,,
,,,,,
,CPV,,,,
,DF,,,,
40,,34.95,188,75,18513.49
,Rafael Leao,,,,
,,,,,
,POR,,,,
,FW,,,,
41,,34.88,90,35,6497.61
,Brian Rodriguez,,,,
,,,,,
,URU,,,,
,FW,,,,
42,,34.87,350,172,29357.02
,Tani Oluwaseyi,,,,
,,,,,
,CAN,,,,
,FW,,,,
43,,34.86,228,99,25916.6
,Federico Valverde,,,,
,,,,,
,URU,,,,
,MF,,,,
44,,34.85,334,112,24453.57
,Brian Gutierrez,,,,
,,,,,
,MEX,,,,
,MF,,,,
45,,34.84,106,39,10041.14
,Hazem Mastouri,,,,
,,,,,
,TUN,,,,
,FW,,,,
46,,34.82,83,52,7102.68
,Matias Fernandez Pardo,,,,
,,,,,
,BEL,,,,
,FW,,,,
47,,34.81,237,100,23067.28
,Dailon Livramento,,,,
,,,,,
,CPV,,,,
,FW,,,,
48,,34.81,343,150,29932.97
,Ali Abdi,,,,
,,,,,
,TUN,,,,
,DF,,,,
49,,34.8,318,145,28616.79
,Esmir Bajraktarevic,,,,
,,,,,
,BIH,,,,
,FW,,,,
50,,34.75,135,60,14528.21
,Eren Elmali,,,,
,,,,,
,TUR,,,,
,DF,,,,
51,,34.75,190,93,19040.35
,Darwin Nunez,,,,
,,,,,
,URU,,,,
,FW,,,,
52,,34.75,426,177,42857.3
,Viktor Gyokeres,,,,
,,,,,
,SWE,,,,
,FW,,,,
53,,34.75,468,235,49484.27
,Breel Embolo,,,,
,,,,,
,SUI,,,,
,FW,,,,
54,,34.72,384,141,29465.19
,Ismail Jakobs,,,,
,,,,,
,SEN,,,,
,DF,,,,
55,,34.72,285,131,28089.07
,Crysencio Summerville,,,,
,,,,,
,NED,,,,
,FW,,,,
56,,34.71,370,178,34347.31
,Yan Diomande,,,,
,,,,,
,CIV,,,,
,FW,,,,
57,,34.71,191,104,18570.21
,Ibrahim Mbaye,,,,
,,,,,
,SEN,,,,
,FW,,,,
58,,34.69,224,87,19112.83
,Zeki Celik,,,,
,,,,,
,TUR,,,,
,DF,,,,
59,,34.68,169,57,12413.4
,Gustavo Caballero,,,,
,,,,,
,PAR,,,,
,MF,,,,
60,,34.68,443,172,35176.6
,Jeremy Doku,,,,
,,,,,
,BEL,,,,
,FW,,,,
