Rank,Player,,,
1,,10,4,769
,Kylian Mbappe,,,
,,,,
,FRA,,,
,FW,,,
2,,8,4,853
,Lionel Messi,,,
,,,,
,ARG,,,
,FW,,,
3,,7,1,698
,Jude Bellingham,,,
,,,,
,ENG,,,
,MF,,,
4,,7,0,537
,Erling Haaland,,,
,,,,
,NOR,,,
,FW,,,
5,,6,2,648
,Ousmane Dembele,,,
,,,,
,FRA,,,
,FW,,,
6,,6,1,732
,Harry Kane,,,
,,,,
,ENG,,,
,FW,,,
7,,5,1,664
,Mikel Oyarzabal,,,
,,,,
,ESP,,,
,FW,,,
8,,4,1,419
,Ismaila Sarr,,,
,,,,
,SEN,,,
,FW,,,
9,,4,1,440
,Julian Quinones,,,
,,,,
,MEX,,,
,FW,,,
10,,4,1,505
,Vinicius Junior,,,
,,,,
,BRA,,,
,FW,,,
11,,3,3,411
,Bukayo Saka,,,
,,,,
,ENG,,,
,FW,,,
12,,3,2,174
,Deniz Undav,,,
,,,,
,GER,,,
,FW,,,
13,,3,2,220
,Johan Manzambi,,,
,,,,
,SUI,,,
,MF,,,
14,,3,1,279
,Romelu Lukaku,,,
,,,,
,BEL,,,
,FW,,,
15,,3,1,368
,Lautaro Martinez,,,
,,,,
,ARG,,,
,FW,,,
16,,3,1,385
,Charles De Ketelaere,,,
,,,,
,BEL,,,
,FW,,,
17,,3,1,394
,Cody Gakpo,,,
,,,,
,NED,,,
,FW,,,
18,,3,1,432
,Bradley Barcola,,,
,,,,
,FRA,,,
,FW,,,
19,,3,0,245
,Brian Brobbey,,,
,,,,
,NED,,,
,FW,,,
20,,3,0,291
,Elijah Just,,,
,,,,
,NZL,,,
,MF,,,
21,,3,0,324
,Matheus Cunha,,,
,,,,
,BRA,,,
,FW,,,
22,,3,0,348
,Folarin Balogun,,,
,,,,
,USA,,,
,FW,,,
23,,3,0,348
,Raul Jimenez,,,
,,,,
,MEX,,,
,FW,,,
24,,3,0,392
,Kai Havertz,,,
,,,,
,GER,,,
,FW,,,
25,,3,0,409
,Yoane Wissa,,,
,,,,
,COD,,,
,FW,,,
26,,3,0,411
,Ismael Saibari,,,
,,,,
,MAR,,,
,MF,,,
27,,3,0,475
,Jonathan David,,,
,,,,
,CAN,,,
,FW,,,
28,,3,0,490
,Cristiano Ronaldo,,,
,,,,
,POR,,,
,FW,,,
29,,2,2,282
,Crysencio Summerville,,,
,,,,
,NED,,,
,FW,,,
30,,2,2,531
,Breel Embolo,,,
,,,,
,SUI,,,
,FW,,,
31,,2,2,561
,Leandro Trossard,,,
,,,,
,BEL,,,
,FW,,,
32,,2,1,215
,Soufiane Rahimi,,,
,,,,
,MAR,,,
,FW,,,
33,,2,1,255
,Nicolas Pepe,,,
,,,,
,CIV,,,
,FW,,,
34,,2,1,257
,Pape Gueye,,,
,,,,
,SEN,,,
,MF,,,
35,,2,1,278
,Maxi Araujo,,,
,,,,
,URU,,,
,MF,,,
36,,2,1,288
,Riyad Mahrez,,,
,,,,
,ALG,,,
,FW,,,
37,,2,1,309
,Ramin Rezaeian,,,
,,,,
,IRN,,,
,DF,,,
38,,2,1,314
,Ruben Vargas,,,
,,,,
,SUI,,,
,FW,,,
39,,2,1,349
,Ayase Ueda,,,
,,,,
,JPN,,,
,FW,,,
40,,2,1,398
,Mostafa Zico,,,
,,,,
,EGY,,,
,MF,,,
41,,2,1,415
,Malik Tillman,,,
,,,,
,USA,,,
,MF,,,
42,,2,0,88
,Ermin Mahmic,,,
,,,,
,BIH,,,
,MF,,,
43,,2,0,168
,Habib Diarra,,,
,,,,
,SEN,,,
,MF,,,
44,,2,0,173
,Marko Arnautovic,,,
,,,,
,AUT,,,
,FW,,,
45,,2,0,211
,Amad Diallo,,,
,,,,
,CIV,,,
,FW,,,
46,,2,0,224
,Cyle Larin,,,
,,,,
,CAN,,,
,FW,,,
47,,2,0,247
,Anthony Elanga,,,
,,,,
,SWE,,,
,FW,,,
48,,2,0,262
,Mikel Merino,,,
,,,,
,ESP,,,
,MF,,,
49,,2,0,359
,Daichi Kamada,,,
,,,,
,JPN,,,
,MF,,,
50,,2,0,371
,Yasin Ayari,,,
,,,,
,SWE,,,
,MF,,,
51,,2,0,395
,Emam Ashour,,,
,,,,
,EGY,,,
,MF,,,
52,,2,0,437
,Dan Ndoye,,,
,,,,
,SUI,,,
,FW,,,
53,,2,0,451
,Daniel Munoz,,,
,,,,
,COL,,,
,DF,,,
54,,2,0,477
,Azzedine Ounahi,,,
,,,,
,MAR,,,
,MF,,,
55,,2,0,538
,Youri Tielemans,,,
,,,,
,BEL,,,
,MF,,,
56,,2,0,640
,Pedro Porro,,,
,,,,
,ESP,,,
,DF,,,
57,,2,0,755
,Enzo Fernandez,,,
,,,,
,ARG,,,
,MF,,,
58,,1,3,297
,Andreas Schjelderup,,,
,,,,
,NOR,,,
,MF,,,
59,,1,3,389
,Alexander Isak,,,
,,,,
,SWE,,,
,FW,,,
60,,1,3,442
,Anthony Gordon,,,
,,,,
,ENG,,,
,FW,,,
61,,1,2,134
,Iliman Ndiaye,,,
,,,,
,SEN,,,
,FW,,,
62,,1,2,206
,Nathan Saliba,,,
,,,,
,CAN,,,
,MF,,,
63,,1,2,362
,Hans Vanaken,,,
,,,,
,BEL,,,
,MF,,,
64,,1,2,400
,Viktor Gyokeres,,,
,,,,
,SWE,,,
,FW,,,
65,,1,2,431
,Julio Enciso,,,
,,,,
,PAR,,,
,FW,,,
66,,1,2,469
,Mohamed Salah,,,
,,,,
,EGY,,,
,FW,,,
67,,1,2,622
,Declan Rice,,,
,,,,
,ENG,,,
,MF,,,
68,,1,2,650
,Achraf Hakimi,,,
,,,,
,MAR,,,
,DF,,,
69,,1,1,105
,Promise David,,,
,,,,
,CAN,,,
,FW,,,
70,,1,1,200
,Baris Alper Yilmaz,,,
,,,,
,TUR,,,
,FW,,,
71,,1,1,203
,Rafael Leao,,,
,,,,
,POR,,,
,FW,,,
72,,1,1,204
,Trezeguet,,,
,,,,
,EGY,,,
,FW,,,
73,,1,1,230
,Mousa Altamari,,,
,,,,
,JOR,,,
,FW,,,
74,,1,1,231
,Sebastian Berhalter,,,
,,,,
,USA,,,
,MF,,,
75,,1,1,258
,Marcus Rashford,,,
,,,,
,ENG,,,
,FW,,,
76,,1,1,284
,Luis Romo,,,
,,,,
,MEX,,,
,MF,,,
77,,1,1,286
,Hwang Inbeom,,,
,,,,
,KOR,,,
,MF,,,
78,,1,1,299
,Felix Nmecha,,,
,,,,
,GER,,,
,MF,,,
79,,1,1,303
,Kaishu Sano,,,
,,,,
,JPN,,,
,MF,,,
80,,1,1,319
,Nathaniel Brown,,,
,,,,
,GER,,,
,DF,,,
81,,1,1,330
,Keito Nakamura,,,
,,,,
,JPN,,,
,MF,,,
82,,1,1,338
,Petar Sucic,,,
,,,,
,CRO,,,
,MF,,,
83,,1,1,349
,Ferran Torres,,,
,,,,
,ESP,,,
,FW,,,
84,,1,1,413
,Ivan Perisic,,,
,,,,
,CRO,,,
,FW,,,
85,,1,1,432
,Virgil Van Dijk,,,
,,,,
,NED,,,
,DF,,,
86,,1,1,439
,Matias Galarza,,,
,,,,
,PAR,,,
,MF,,,
87,,1,1,442
,Alex Freeman,,,
,,,,
,USA,,,
,DF,,,
88,,1,1,449
,Desire Doue,,,
,,,,
,FRA,,,
,FW,,,
89,,1,1,522
,Alex Baena,,,
,,,,
,ESP,,,
,MF,,,
90,,1,1,525
,Luis Diaz,,,
,,,,
,COL,,,
,FW,,,
91,,1,1,708
,Lisandro Martinez,,,
,,,,
,ARG,,,
,DF,,,
92,,1,1,869
,Alexis Mac Allister,,,
,,,,
,ARG,,,
,MF,,,
93,,1,0,11
,Kaan Ayhan,,,
,,,,
,TUR,,,
,MF,,,
94,,1,0,25
,Mattias Svanberg,,,
,,,,
,SWE,,,
,MF,,,
95,,1,0,51
,Mahmoud Saber,,,
,,,,
,EGY,,,
,MF,,,
96,,1,0,52
,Nadhir Benbouali,,,
,,,,
,ALG,,,
,FW,,,
97,,1,0,55
,Neymar Jr,,,
,,,,
,BRA,,,
,FW,,,
98,,1,0,55
,Fiston Mayele,,,
,,,,
,COD,,,
,FW,,,
99,,1,0,58
,Goncalo Ramos,,,
,,,,
,POR,,,
,FW,,,
100,,1,0,64
,Giovani Lo Celso,,,
,,,,
,ARG,,,
,MF,,,
101,,1,0,69
,Hassan Alhaydos,,,
,,,,
,QAT,,,
