match_id,Round,Date,Home,Away,home_goals,away_goals,first_scorer_team,first_goal_minute,first_goal_min,goal_type,winner,won,half,timing_group
1,Group stage,11-06-2026,Mexico,South Africa,2,0,Mexico,9',9.0,Goal,Mexico,1,1st,early
2,Group stage,11-06-2026,Korea Republic,Czechia,2,1,Czechia,59',59.0,Goal - Header,Korea Republic,0,2nd,late
3,Group stage,12-06-2026,Canada,Bosnia–Herz,1,1,Bosnia-Herzegovina,21',21.0,Goal - Header,Draw,0,1st,early
4,Group stage,12-06-2026,USA,Paraguay,4,1,United States,7',7.0,Own Goal,USA,0,1st,early
5,Group stage,13-06-2026,Qatar,Switzerland,1,1,Qatar,90'+4',90.0,Own Goal,Draw,0,2nd,late
6,Group stage,13-06-2026,Brazil,Morocco,1,1,Morocco,21',21.0,Goal,Draw,0,1st,early
7,Group stage,13-06-2026,Australia,Türkiye,2,0,Australia,27',27.0,Goal,Australia,1,1st,early
8,Group stage,13-06-2026,Haiti,Scotland,0,1,Scotland,28',28.0,Goal,Scotland,1,1st,early
9,Group stage,14-06-2026,Germany,Curaçao,7,1,Germany,6',6.0,Goal,Germany,1,1st,early
10,Group stage,14-06-2026,Netherlands,Japan,2,2,Netherlands,51',51.0,Goal - Header,Draw,0,2nd,late
11,Group stage,14-06-2026,Côte d'Ivoire,Ecuador,1,0,Ivory Coast,90',90.0,Goal,Côte d'Ivoire,0,2nd,late
12,Group stage,14-06-2026,Sweden,Tunisia,5,1,Sweden,7',7.0,Goal,Sweden,1,1st,early
13,Group stage,15-06-2026,Belgium,Egypt,1,1,Egypt,20',20.0,Goal,Draw,0,1st,early
14,Group stage,15-06-2026,Saudi Arabia,Uruguay,1,1,Saudi Arabia,41',41.0,Goal,Draw,0,1st,late
15,Group stage,15-06-2026,IR Iran,New Zealand,2,2,New Zealand,7',7.0,Goal,Draw,0,1st,early
16,Group stage,16-06-2026,France,Senegal,3,1,France,66',66.0,Goal,France,1,2nd,late
17,Group stage,16-06-2026,Iraq,Norway,1,4,Norway,29',29.0,Goal,Norway,1,1st,late
18,Group stage,16-06-2026,Argentina,Algeria,3,0,Argentina,17',17.0,Goal,Argentina,1,1st,early
19,Group stage,16-06-2026,Austria,Jordan,3,1,Austria,21',21.0,Goal,Austria,1,1st,early
20,Group stage,17-06-2026,Portugal,Congo DR,1,1,Portugal,6',6.0,Goal - Header,Draw,0,1st,early
21,Group stage,17-06-2026,England,Croatia,4,2,Croatia,36',36.0,Goal,England,0,1st,late
22,Group stage,17-06-2026,Ghana,Panama,1,0,Ghana,90'+5',90.0,Goal,Ghana,1,2nd,late
